Ticker,Name,Sector,Industry,Price (£),Market Cap (£B),Buffett Score,Signal,Intrinsic Value (£),Margin of Safety (%),P/E Ratio,P/B Ratio,PEG Ratio,ROE (%),Net Margin (%),Op Margin (%),Debt/Equity,Current Ratio,FCF Yield (%),Dividend Yield (%),Payout Ratio (%),Subscore Quality,Subscore Health,Subscore Valuation,Subscore MOS
INVP.L,INVESTEC PLC ORD GBP0.0002,Financial Services,Capital Markets,6.42,4.03,42.0,SELL,0.0,-100.0,8.57,1.01,,12.37,34.07,43.81,,,-70.6,5.93,50.0,20.0,6.0,16.0,0
GSK.L,GSK PLC ORD 31 1/4P,Healthcare,Drug Manufacturers - General,19.06,76.35,40.0,SELL,13.21,-44.3,16.15,4.33,6.05,33.38,14.52,30.94,1.06,0.81,4.56,3.56,56.88,23.0,9.0,8.0,0
IAG.L,INTERNATIONAL CONSOLIDATED AIRL,Industrials,Airlines,4.39,19.17,40.0,SELL,3.79,-15.9,7.98,2.63,2.66,42.14,9.21,14.42,1.61,0.77,5.68,1.97,15.26,17.0,5.0,18.0,0
BGEO.L,LION FINANCE GROUP PLC ORD 1P,Financial Services,Banks - Regional,139.5,6.0,40.0,SELL,0.0,-100.0,9.12,0.76,,27.52,51.73,0.0,,,,2.45,24.86,18.0,6.0,16.0,0
DPLM.L,DIPLOMA PLC ORD 5P,Industrials,Industrial Distribution,76.25,10.22,40.0,SELL,33.4,-128.3,54.08,9.73,,18.95,11.5,19.72,0.47,2.06,2.39,0.84,44.25,18.0,22.0,0.0,0
SGRO.L,SEGRO PLC ORD 10P,Real Estate,REIT - Industrial,9.49,12.84,39.0,SELL,4.36,-117.7,23.15,1.07,2.56,2.48,40.0,70.81,0.44,0.59,2.34,3.34,73.46,17.0,14.0,8.0,0
SPX.L,SPIRAX GROUP PLC ORD 26 12/13P,Industrials,Specialty Industrial Machinery,72.75,5.37,39.0,SELL,61.3,-18.7,27.04,4.29,1.54,16.62,11.36,17.78,0.87,2.14,3.03,2.39,63.34,18.0,18.0,3.0,0
AZN.L,ASTRAZENECA PLC ORD SHS $0.25,Healthcare,Drug Manufacturers - General,126.72,196.53,37.0,SELL,49.88,-154.1,25.34,5.22,1.2,21.96,17.02,23.46,0.64,0.89,2.5,1.9,47.41,25.0,12.0,0.0,0
RR.L,ROLLS-ROYCE HOLDINGS PLC ORD SH,Industrials,Aerospace & Defense,14.82,122.02,36.0,SELL,8.49,-74.6,41.16,43.2,2.19,114.48,13.11,21.1,1.52,1.24,3.77,0.8,26.19,23.0,10.0,3.0,0
SSE.L,SSE PLC ORD 50P,Utilities,Utilities - Diversified,24.69,29.78,36.0,SELL,0.0,-100.0,23.51,2.35,0.81,9.7,11.87,23.16,0.62,1.2,-7.58,2.77,61.1,15.0,10.0,11.0,0
NG.L,NATIONAL GRID PLC ORD 12 204/47,Utilities,Utilities - Regulated Electric,11.51,57.83,35.0,SELL,0.0,-100.0,17.43,1.46,0.98,8.41,18.32,32.6,1.21,0.76,-5.4,4.22,72.11,17.0,2.0,16.0,0
ADM.L,ADMIRAL GROUP PLC ORD 0.1P,Financial Services,Insurance - Property & Casualty,37.06,11.08,35.0,SELL,0.0,-100.0,17.0,7.47,2.44,45.56,13.36,17.72,1.39,6.13,-40.08,3.74,72.87,20.0,10.0,5.0,0
WEIR.L,WEIR PLC ORD 12.5P,Industrials,Specialty Industrial Machinery,27.12,7.04,35.0,SELL,13.28,-104.2,26.59,3.49,1.26,13.93,10.01,16.15,0.91,2.55,1.76,1.58,40.96,15.0,18.0,2.0,0
ITRK.L,INTERTEK GROUP PLC ORD 1P,Industrials,Specialty Business Services,58.7,9.01,33.0,SELL,45.26,-29.7,28.63,8.49,2.99,29.94,9.07,16.65,1.73,1.1,5.08,2.81,80.45,17.0,10.0,6.0,0
PSH.L,PERSHING SQUARE HOLDINGS LTD OR,Financial Services,Asset Management,37.06,6.46,33.0,SELL,0.0,-100.0,,0.67,,-9.55,0.0,105.93,0.28,155.54,-13.81,1.48,4.68,7.0,20.0,6.0,0
CPG.L,COMPASS GROUP PLC ORD 11 1/20P,Consumer Cyclical,Restaurants,30.1,51.18,32.0,SELL,32.27,6.7,25.29,6.43,1.55,26.88,4.16,6.7,1.13,0.7,3.86,2.28,55.92,12.0,7.0,3.0,10
CRDA.L,CRODA INTERNATIONAL PLC ORD 10.,Basic Materials,Specialty Chemicals,32.92,4.59,32.0,SELL,16.0,-105.8,57.75,2.11,0.46,3.68,4.61,16.07,0.36,2.57,1.75,3.46,195.08,6.0,22.0,4.0,0
SMIN.L,SMITHS GROUP PLC ORD 37.5P,Industrials,Specialty Industrial Machinery,27.83,7.85,30.0,SELL,0.0,-100.0,37.61,5.42,1.33,12.53,8.71,18.47,0.73,3.04,-9.92,1.81,61.99,12.0,13.0,5.0,0
EZJ.L,EASYJET PLC ORD 27 2/7P,Industrials,Airlines,6.72,5.02,29.0,SELL,0.0,-100.0,12.44,1.38,3.07,13.13,3.93,-13.48,0.82,1.1,-16.19,1.97,24.4,5.0,10.0,14.0,0
SVT.L,SEVERN TRENT PLC ORD 97 17/19P,Utilities,Utilities - Regulated Water,31.08,9.39,28.0,SELL,0.0,-100.0,25.27,5.08,3.36,20.54,13.1,28.78,5.97,1.39,-12.46,4.08,100.27,23.0,5.0,0.0,0
IHG.L,INTERCONTINENTAL HOTELS GROUP P,Consumer Cyclical,Lodging,154.1,22.53,27.0,SELL,94.92,-62.3,32.72,-7.76,1.23,,13.4,25.12,,0.66,4.06,1.24,39.14,13.0,11.0,3.0,0
CTEC.L,CONVATEC GROUP PLC ORD 10P,Healthcare,Medical Instruments & Supplies,2.15,4.14,26.0,SELL,1.44,-49.0,43.04,3.94,0.53,7.65,4.98,14.45,1.22,1.93,4.42,2.58,116.9,6.0,15.0,5.0,0
WTB.L,WHITBREAD PLC ORD 76 122/153P,Consumer Cyclical,Lodging,23.38,3.91,25.0,SELL,4.9,-377.3,19.16,1.25,,6.58,7.29,17.29,1.74,0.56,1.38,4.17,79.25,9.0,5.0,11.0,0
BAB.L,BABCOCK INTERNATIONAL GROUP PLC,Industrials,Engineering & Construction,9.77,4.8,24.0,SELL,5.8,-68.5,23.83,7.87,1.37,33.68,4.08,1.41,1.75,0.8,3.91,0.75,16.95,12.0,7.0,5.0,0
MKS.L,MARKS AND SPENCER GROUP PLC ORD,Consumer Cyclical,Department Stores,3.73,7.72,23.0,SELL,3.31,-12.9,31.11,2.51,0.6,7.8,1.5,2.5,1.06,0.86,3.19,1.14,30.89,4.0,9.0,5.0,5
SMT.L,SCOTTISH MORTGAGE INVESTMENT TR,N/A,N/A,15.72,16.65,22.0,SELL,0.0,-100.0,5.72,1.23,,,,,,,,,,0.0,6.0,16.0,0
FCIT.L,F&C INVESTMENT TRUST PLC ORD 6.,N/A,N/A,3.46,6.47,22.0,SELL,0.0,-100.0,4.55,0.95,,,,,,,,,,0.0,6.0,16.0,0
PCT.L,POLAR CAPITAL TECHNOLOGY TRUST ,N/A,N/A,6.91,7.63,22.0,SELL,0.0,-100.0,2.09,1.05,,,,,,,,,,0.0,6.0,16.0,0
AV.L,AVIVA PLC ORD 32 17/19P,Financial Services,Insurance - Diversified,7.06,21.12,21.0,SELL,0.0,-100.0,41.53,2.16,1.67,7.08,2.06,7.77,0.61,2.84,-10.83,5.58,229.82,4.0,13.0,4.0,0
BBOX.L,TRITAX BIG BOX REIT PLC ORD 1P,N/A,N/A,1.49,4.36,20.0,SELL,0.0,-100.0,14.9,0.8,,,,,,,,,,0.0,6.0,14.0,0
ALW.L,ALLIANCE WITAN PLC ORD 2.5P,N/A,N/A,13.75,5.05,8.0,SELL,0.0,-100.0,20.76,,,,,,,,,,,0.0,6.0,2.0,0
